degree list:
2 	3 	
2 	3 	
2 	3 	
ncells list:
4 	8 	
4 	8 	
4 	8 	
0.02559065818786621 	0.12124109268188477 	
0.020498275756835938 	0.07233428955078125 	
0.04468488693237305 	0.1536877155303955 	
0.21206998825073242 	0.5590939521789551 	
0.09252405166625977 	0.3257269859313965 	
0.17833423614501953 	0.5053088665008545 	
